Título,Autor,Materia,Resumen,Fecha,Idioma
Análisis de la calidad de la anticoagulación con antagonistas de la vitamina K en tres escenarios clínicos en México,"Gómez-Rosas,Patricia",Antagonistas de la vitamina K," Los antagonista de la vitamina K (AVK) son una alternativa terapéutica en los pacientes con enfermedad tromboembólica venosa; sin embargo, numerosos factores afectan su farmacología.  Evaluar la calidad de la anticoagulación AVK durante tres diferentes periodos en México.  Métodos: Estudio prospectivo, anidado en cohortes de pacientes en tres escenarios clínicos entre los años 2013-2019. Se incluyeron pacientes no hospitalizados con indicación para recibir AVK por al menos 12 meses, quienes fueron manejados de acuerdo con el criterio del médico tratante.  Resultados: Las características generales de los pacientes fueron similares entre los grupos, excepto por la indicación para usar los AVK. Se analizaron los resultados de 4148 pacientes y 38 548 evaluaciones de INR. Los tiempos en rango terapéutico durante las tres fases del estudio y los datos acumulados fueron significativamente mayores en la clínica de anticoagulación. Solo el número de visitas de control de los pacientes se asoció significativamente con los resultados, a diferencia de la edad, el sexo y el tipo de AVK.  Conclusiones: Los AVK se utilizan ampliamente, pero es difícil alcanzar la meta terapéutica, sobre todo en servicios clínicos no especializados. La creación de clínicas de anticoagulación es una necesidad urgente en el sistema mexicano de salud.",01/06/2021,es
Incidencia y características clínicas de la enfermedad tiroidea en pacientes con neoplasias malignas tratados con inhibidores de punto de control inmunológico,"Cuenca,Dalia",Inhibidores del punto de control inmunológico," Los inhibidores del punto de control inmunológico (IPCi) son utilizados en los últimos años en el tratamiento de neoplasias malignas avanzadas, con ellos se ha logrado un aumento significativo de la supervivencia; sin embargo, su uso se ha asociado a incremento del riesgo de enfermedades autoinmunes.  Describir la incidencia y las características clínicas de los pacientes tratados con IPCi que desarrollaron tiroidopatía.  Métodos: Se revisaron retrospectivamente los expedientes de todos los pacientes que recibieron IPCi en los últimos tres años y se identificaron aquellos que desarrollaron anomalías tiroideas.  Resultados: La prevalencia de tiroiditis fue de 7 %, con una incidencia de 21.4 % pacientes/mes. La mediana del tiempo para el desarrollo de tiroiditis fue de 63 días. La mayoría de los pacientes presentó síntomas leves o moderados y no requirió hospitalización, si bien todos menos uno desarrollaron hipotiroidismo permanente y requirieron terapia de reemplazo hormonal con levotiroxina.  Conclusiones: La disfunción tiroidea secundaria a inmunoterapia es una entidad común en nuestra población. El cuadro clínico suele ser leve y no requiere suspender el tratamiento; sin embargo, debido a la alta incidencia de este evento adverso, los médicos no oncólogos deben estar familiarizados con su diagnóstico y tratamiento, para brindar un manejo multidisciplinario.",01/06/2021,es
"Reflexiones en torno a la ética, la inteligencia humana y la inteligencia artificial","García-Vigil,José L.",Inteligencia artificial,"En internet ha crecido la inteligencia artificial hasta convertirse en un programa con códigos y algoritmos que aprenden y se reprograman para efectuar tareas preestablecidas con mayor eficiencia; si bien lo anterior se traduce en mejoría, el programador desconoce los alcances de los resultados y de la reprogramación. Ante el riesgo de desviación de los objetivos preestablecidos y de los reglamentos éticos, se tienen que implementar filtros al inicio, durante y al final del proceso, como alarmas cuando existan desviaciones con implicación bioética. La interacción de la inteligencia humana con la inteligencia artificial ha tenido desencuentros negativos y positivos. Al principio, bastó con adecuar normas, leyes laborales y derechos humanos; ahora se requiere establecer normas éticas, como las formuladas en la Declaración de Barcelona para el Adecuado Desarrollo y Uso de la Inteligencia Artificial en Europa.",01/06/2021,es
Dolor neuropático localizado,"Plancarte-Sánchez,Ricardo",Dolor neuropático localizado,"El dolor neuropático localizado (DNL) es de origen periférico y se caracteriza por áreas circunscritas de dolor con sensibilidad anormal de la piel o síntomas espontáneos característicos de dolor neuropático, por ejemplo, dolor urente. Se debe resaltar que el DNL está confinado a un área específica no mayor a una hoja de papel tamaño carta. El DNL representa 60 % de las condiciones de dolor neuropático. No existe una única etiología. El abordaje diagnóstico es similar al de otros síndromes dolorosos neuropáticos. Se utilizan herramientas diagnósticas generales para evaluar las características clínicas. En la actualidad no existen guías específicas de manejo del DNL, por lo que se utilizan las guías para dolor neuropático en general. En las guías de la Sociedad Canadiense de Dolor se incluyen los tratamientos tópicos como parte de las estrategias de segunda línea. Pese a la falta de guías, los parches de lidocaína a 5 % y los parches de capsaicina a 8 % han demostrado ser efectivos en modelos de DNL.",01/06/2021,es
La imperiosa necesidad de telemedicina en la atención de diabetes durante la pandemia de COVID-19. Un estudio de abordaje integral,"Silva-Tinoco,Rubén",Diabetes," Los pacientes con diabetes experimentan dificultades para mantener el control glucémico durante el confinamiento por la pandemia de COVID-19, con el riesgo de presentar complicaciones crónicas de la diabetes y COVID-19 grave.  El propósito de este estudio fue evaluar la conversión de un centro de atención primaria presencial de diabetes a un servicio de telemedicina por llamada telefónica.  Métodos: Se realizaron consultas médicas por llamada telefónica durante la etapa inicial del confinamiento (abril a junio de 2020), para continuar el seguimiento de pacientes ingresados a un programa de atención multicomponente en diabetes.  Resultados: Se realizaron 1118 consultas por llamada telefónica para continuar el seguimiento de 192 pacientes con diabetes tipo 2. Participaron diferentes profesionales de distintas áreas de la salud: atención médica, educación en diabetes, nutrición, psicología y podología.  Conclusiones: La atención multicomponente en diabetes se transformó con éxito de un esquema de atención presencial a un servicio de telemedicina. Numerosos pacientes de atención primaria pueden ser candidatos a telemedicina. Se debe considerar un rediseño del modelo de atención que incorpore la telemedicina para mitigar la carga de morbimortalidad en enfermedades crónicas impuesta por la pandemia de COVID-19, pero también para la era pos-COVID-19.",01/06/2021,es
Apego a higiene de manos en 5 momentos y protección específica en un hospital de tercer nivel ante la pandemia de COVID-19,"Maciel-Urzúa,Javier A.",Higiene de manos," Ante la pandemia de COVID-19, el apego a las medidas de higiene es un objetivo para disminuir la morbimortalidad.  Evaluar el apego a la higiene de manos y medidas de protección durante la pandemia de COVID-19 en un hospital de tercer nivel.  Métodos: Estudio transversal acerca del lavado de manos del personal de salud en los cinco tiempos recomendados por la Organización Mundial de la Salud, así como sobre el uso del equipo de protección personal específico.  Resultados: Fueron observadas 117 oportunidades de higiene de manos en personal de salud: 40 (34 %) respecto al lavado de manos y 76 (65 %) respecto a su omisión; sobre el apego al uso de careta en cinco (4 %) y sobre la falta de apego en 112 (96 %). Se identificó apego al uso de mascarilla en 65 profesionales de enfermería (87 %), uso adecuado de mascarilla en 56 de ellos (60 %) y uso de careta en uno (1 %.)  Conclusión: El personal mostró baja proporción de apego a la higiene de manos y al uso de equipo para la protección específica durante la pandemia de COVID-19.",01/06/2021,es
"Ramón de la Fuente Muñiz, forjador de la psiquiatría moderna en México y Latinoamérica. En el centenario de su nacimiento","Campos-Farfán,César",Ramón de la Fuente,"Este 2021 se cumple el centenario del natalicio del doctor Ramón de la Fuente Muñiz (1921-2006), universitario y creador de instituciones. En esta breve comunicación, sin la pretensión de ser una biografía, proponemos conmemorar dicho acontecimiento, con un recuento juicioso y objetivo de los aspectos más sobresalientes de su vida y obra.",01/06/2021,es
Pros y contras de las innovaciones en educación médica,"Lifshitz-Guinzberg,Alberto",Educación,"La educación médica ha puesto en práctica diversas estrategias innovadoras con el propósito de alcanzar mejores logros de aprendizaje. Se hace una evaluación de las experiencias relacionadas con el enfoque por competencias, las nuevas tecnologías educativas, las alternativas curriculares, la profesionalización de la evaluación y las técnicas educativas a distancia, para ubicarlas en el lugar que les corresponde.",01/06/2021,es
Cambios regionales de densidad vascular parafoveal en pacientes diabéticos sin retinopatía,"Escobar-Villado,Sheyla L.",Densidad vascular parafoveal," Los cambios regionales de densidad vascular parafoveal no han sido caracterizados en los pacientes con diabetes tipo 2 sin retinopatía.  Comparar los cambios regionales de densidad vascular entre sujetos sin diabetes (grupo 1) y con diabetes sin retinopatía (grupo 2).  Métodos: Estudio observacional, retrospectivo, transversal y comparativo. La densidad vascular parafoveal por cuadrantes se comparó entre grupos y entre cuadrantes en cada grupo; se correlacionó la densidad de cada cuadrante y la densidad interna, así como la contribución de cada cuadrante a la densidad interna (regresión lineal).  Resultados: Se analizaron 34 ojos en el grupo 1 y 38 en el grupo 2; en este fue menor la densidad vascular interna (20.75 versus 21.85, p = 0.021) y la de los cuadrantes superior (21.05 versus 21.75, p < 0.001) y nasal (20.95 versus 21.50, p = 0.023). En el análisis de regresión, los cuadrantes superior y nasal tuvieron la mayor contribución al cambio en la densidad vascular interna (β = 0.361, β = 0.294) en el grupo 2.  Conclusiones: La densidad vascular interna parafoveal disminuye en los pacientes diabéticos sin retinopatía, a expensas de los cuadrantes superior y nasal, por lo que se requiere evaluación adicional para detectar afecciones microvasculares tempranas.",01/08/2021,es
Expresión diferencial de los genes SERCA en células de cáncer de mama,"Zarain-Herzberg,Ángel",SERCA," Las enzimas SERCA son esenciales para la homeostasis intracelular de Ca2+. Los genes SERCA (ATP2A1-3) codifican para distintas isoformas funcionales de la proteína, cuya expresión o función se encuentra alterada en diversos tipos de cáncer, como el gástrico y el oral, así como de colon, mama, pulmón, tiroides, hígado y próstata, entre otros. Sin embargo, se desconoce el papel de las bombas SERCA en la carcinogénesis.  Métodos: Se utilizaron estudios como reacción en cadena de la polimerasa en tiempo real, microscopia óptica, ensayos de proliferación y muerte celular, así como análisis bioinformáticos.  Objetivos: Evaluar los niveles de expresión de los genes ATP2A2 y ATP2A3 en líneas celulares que representan diferentes subtipos de cáncer de mama.  Resultados: La línea celular MDA-MB-231 expresa niveles más bajos del ARNm para el gen ATP2A3, en comparación con las células MCF-7. El uso del fitoestrógeno resveratrol induce la expresión de ATP2A3, disminuye la proliferación e induce apoptosis en ambos tipos de células.  Conclusiones: La expresión de SERCA puede funcionar como una herramienta para diferenciar los subtipos de cáncer de mama, los cuales tienen distintas necesidades de tratamiento.",01/08/2021,es
Validez y confiabilidad de la Escala de Fatiga para la Enfermedad Intestinal Inflamatoria en pacientes mexicanos,"Parra-Holguín,Norma N.",Fatiga," La fatiga es una manifestación extraintestinal de la enfermedad inflamatoria intestinal (EII).  Obtener la validez de constructo, la validez discriminante y la confiabilidad de un instrumento para evaluar una escala de fatiga para EII en pacientes mexicanos.  Métodos: Se incluyeron 200 pacientes con diagnóstico confirmado de EII. Se evaluaron las características demográficas y clínicas actuales del padecimiento. Cada paciente contestó la Escala de Fatiga para EII (IBD-F) y el Índice de Calidad de Sueño de Pittsburgh (PSQI), empleado para determinar la validez discriminante de la IBD-F. Se realizó un análisis factorial de cada sección de la IBD-F, se utilizó la t de Student de muestras independientes para el contraste del PSQI y la confiabilidad se evaluó mediante alfa de Cronbach.  Resultados: Los reactivos de ambas secciones de la IBD-F mostraron altas cargas factoriales, que explicaron 68.3 y 38.4 % de la varianza, respectivamente. El alfa de Cronbach fue > 0.80 en ambas, las cuales discriminaron a los pacientes con mayores alteraciones en el sueño.  Conclusiones: La IBD-F es una escala válida y confiable para pacientes mexicanos con EII. La evaluación objetiva de la fatiga permitirá realizar intervenciones oportunas para disminuir el impacto de esta manifestación en el paciente con EII.",01/08/2021,es
Morbilidad y mortalidad perinatal de hijos de mujeres con enfermedad renal crónica,"Pérez-López,María Juana",Enfermedad renal leve," La enfermedad renal (ER) crónica asociada al embarazo incrementa el riesgo de complicaciones maternas y fetales.  Determinar la morbilidad y mortalidad perinatal del hijo de madre con enfermedad renal leve y moderada del embarazo.  Métodos: Estudio retrospectivo de expedientes de mujeres con ER leve y moderada del embarazo atendidas en el Centro Médico Nacional La Raza entre 2010 y 2016.  Resultados: Se trató de 142 pacientes, 99 (69.72 %) con ER leve y 43 (30.28 %) con ER moderada; 79 (55.63 %) neonatos llegaron a término, 28 (19.71 %) presentaron restricción de crecimiento; 44 (30.98 %), peso bajo al nacimiento y 54 (38.02 %) ingresaron a la unidad de cuidados intensivos neonatales; cuatro (4.04 %) mujeres presentaron aborto, en cuatro (2.81 %) sus hijos presentaron muerte intrauterina y en 10 (7.04 %), muerte neonatal. La presión arterial alta (RM = 6.93) y la hemoglobina < 11g/dL (RM = 2.48) constituyeron factores de riesgo para prematurez.  Conclusión: Se encontró relación entre la anemia y las cifras de tensión arterial como riesgo para prematurez, Apgar bajo e ingreso a unidad de cuidados intensivos neonatales.",01/08/2021,es
Tiempos de traslado al trabajo y hallazgos auditivos en la población adulta de la Ciudad de México,"Juárez-Pérez,Cuauhtémoc A.",Transporte," Los tiempos prolongados de traslado son comunes en las ciudades grandes.  Determinar los umbrales auditivos y su asociación con el tiempo de traslado al trabajo en la Ciudad de México.  Métodos: Estudio transversal que incluyó a 177 adultos sanos de 2009 a 2011. Se registró información demográfica y tiempo de traslado al trabajo. La audición se evaluó mediante audiometría. Se realizaron modelos de regresión para determinar los predictores de los umbrales auditivos.  Resultados: Se trató de 101 hombres (53 %) y 76 mujeres (43 %). El tiempo promedio de traslado fue 43 minutos (1 a 150 minutos). Se observó una caída del umbral auditivo en 4000 Hz, con recuperación en 8000 Hz en ambos oídos al estratificar por sexo y grupos de edad. Un tiempo de traslado > 40 minutos/día incrementó el umbral auditivo en 4000 Hz (β = 2.96 dB HL, p < 0.01). Los hombres presentaron umbrales mayores (β = 2.6 dB HL), al igual que los sujetos de edad más avanzada: 25 a 34 años, β = 2.2 dB HL; 35 a 44 años, β = 5.2 dB HL y ≥ 45 años, β = 8.3 dB HL.  Conclusión: El patrón auditivo, aunque normal, se asemejó a la pérdida auditiva por ruido asociada a tiempo prolongado de traslado al trabajo.",01/08/2021,es
Deterioro cognoscitivo en pacientes con tuberculosis del sistema nervioso central,"Popoca-Rodríguez,Ignacio",Deterioro cognitivo," La tuberculosis en México sigue siendo causa importante de morbimortalidad; en los últimos cuatro años, se reportaron 110 681 casos de tuberculosis pulmonar y 1571 casos de tuberculosis meníngea.  Determinar las secuelas neurocognoscitivas, presentación clínica y alteraciones en los estudios de neuroimagen en pacientes con tuberculosis del sistema nervioso central.  Métodos: Se realizó un estudio retrospectivo, analítico y transversal de 2010 a 2019. Se incluyeron pacientes con tuberculosis del sistema nervioso central, con y sin coinfección por VIH/sida.  Resultados: Durante el periodo de estudio se incluyeron 104 casos con diagnóstico definitivo y probable de tuberculosis del sistema nervioso central; de acuerdo con los criterios de Marais, 38 % presentó coinfección por VIH/sida y 55 %, diversas comorbilidades (p = 0.0001); 49 % presentó alteraciones cognoscitivas y 14 % falleció.  Conclusiones: Aunque la infección por VIH/sida puede contribuir al deterioro cognitivo del paciente con tuberculosis meníngea, no se observaron diferencias entre pacientes con y sin VIH/sida. Las secuelas cognoscitivas mostraron mejoría en el seguimiento con el adecuado manejo y control terapéutico de los pacientes.",01/08/2021,es
Asociación de la fiebre y el tratamiento antipirético con la progresión de la disfunción orgánica en sepsis: cohorte prospectiva,"Toledo-Salinas,Otoniel",Fiebre," No se conoce si la fiebre y el tratamiento antipirético se relacionan con progresión de la disfunción orgánica (PDO) en sepsis.  Evaluar la asociación de la fiebre y el tratamiento antipirético con la PDO en sepsis.  Métodos: Estudio de cohorte prospectiva de pacientes con sepsis. Se registró temperatura axilar máxima (T° máx.), dosis total de fármacos antipiréticos y puntuación diaria de la escala SOFA. La PDO se definió como el incremento de SOFA ≥ 1 punto. Se utilizó un modelo de regresión logística multivariado para evaluar la asociación estudiada.  Resultados: Se incluyeron 305 pacientes: 163 mujeres (53.4 %) con puntuación SOFA de ocho puntos (6-11); 130 participantes (42.62 %) presentaron T° máx. ≥ 38 °C y 76 (24.9 %), PDO. La mortalidad en los pacientes con fiebre fue de 26.2 % versus 20 % sin fiebre (p = 0.21) y con PDO, de 73.7 % versus 5.7 % (p = 0.01). La T° máx. ≥ 39°C tuvo RM = 4.96 (IC 95 % = 1.97-12.47, p = 0.01) y el uso de antipiréticos, RM = 1.04 (IC 95 % = 0.58-1.86, p = 0.88).  Conclusiones: La T° máx. axilar ≥ 39°C es un factor de riesgo para PDO en sepsis. El uso de antipiréticos no se asoció a PDO.",01/08/2021,es
Niveles de perfil lipídico en pacientes con VIH-sida en tratamiento con efavirenz y atazanavir. Estudio de cohorte,"Geldres-Molina,Fernando",Agentes antirretrovirales," El tratamiento antirretroviral para VIH genera dislipidemia asociada a riesgo cardiovascular y aterosclerosis.  Comparar los efectos lipídicos de los antirretrovirales en pacientes con VIH-sida.  Métodos: Cohorte retrospectiva. Se comparó el perfil lipídico de los pacientes que recibieron efavirenz (EFV) versus atazanavir (ATV) con una backbone de zidovudina + lamivudina durante 36 meses.  Resultados: Se incluyeron 212 pacientes. Desde el inicio hasta los 36 meses, el aumento del HDL del grupo de pacientes en tratamiento con ATV fue mayor en comparación con el que presentaron los pacientes con EFV (8.33 versus 4.26, respectivamente; p < 0.01); se observó una diferencia de triglicéridos entre los grupos, con disminución de 19.06 mg/dL en los pacientes con ATV y aumento de 40.62 mg/dL en los que recibieron EFV (p < 0.001). La diferencia de medias en el cambio de colesterol total y LDL entre ambos tratamientos no fue significativa (p = 0.32 y p = 0.951, respectivamente).  Conclusiones: Los regímenes con ATV se asociaron a cambios más favorables en los niveles de triglicéridos y HDL que los regímenes con EFV, relación que podría asociarse a reducción del riesgo cardiovascular a largo plazo, la cual requiere estudios adicionales.",01/08/2021,es
Variabilidad interobservador en cinco escalas de severidad determinada por tomografía computarizada para la valoración de neumonía por COVID-19,"Holguín-Andrade,Karina I.",Neumonía por COVID-19," A finales de 2019 se presentó un brote de neumonía causada por un nuevo coronavirus, enfermedad a la que se denominó COVID-19. La tomografía computarizada ha desempeñado un papel importante en el diagnóstico de los pacientes con COVID-19.  Demostrar la variabilidad interobservador con cinco escalas propuestas para la medición de la extensión de la neumonía ocasionada por COVID-19 mediante tomografía.  Métodos: Se analizaron 35 tomografías de tórax iniciales de pacientes que asistieron al triaje respiratorio por sospecha de neumonía por COVID-19. Tres radiólogos realizaron la clasificación de las imágenes tomográficas de acuerdo con las escalas de severidad propuestas por Yang (1), Yuan (2), Chun (3), Wang (4) e INER-Chung-Pan (5). Se calculó el porcentaje de concordancia entre los evaluadores para cada escala con el índice de correlación intraclase.  Resultados: La mayoría de los pacientes presentó afección de cinco lóbulos pulmonares (77.1 % de los pacientes). Las escalas 1, 2, 4 y 5 mostraron una correlación intraclase > 0.91, con p < 0.0001, por lo que la concordancia fue casi perfecta.  Conclusiones: La escala 4 (de Wang) mostró la mejor concordancia interobservador, con un coeficiente de 0.964 (p = 0.001).",01/08/2021,es
Autofluorescencia retiniana en la evaluación de la respuesta al tratamiento del edema macular diabético,"Hernández-Da Mota,Sergio E.",Edema macular diabético," La autofluorescencia retiniana (AF) ha mostrado sensibilidad en la detección del edema macular.  Objetivos: Evaluar índices formados con la AF y variables anatomofuncionales retinianas en pacientes con edema macular diabético (EMD) tratados con ziv-aflibercept (ziv-AFL).  Métodos: Fueron incluidos 29 ojos de 15 pacientes con EMD que recibieron inyecciones intravítreas de ziv-AFL. Se evaluó agudeza visual mejor corregida (AVMC), sensibilidad al contraste (SC), tomografía de coherencia óptica (TCO) y AF, antes del tratamiento, así como al primer y segundo mes de iniciado este. Las variables de la TCO fueron grosor foveal central (GFC), volumen macular (VM) y grosor promedio macular (GPM). Se obtuvieron los valores basales de AF/AVMC, AF/SC, AF/GFC, AF/VM y AF/GPM. Se realizó análisis con el coeficiente de correlación de rangos de Spearman y análisis de regresión lineal.  Resultados: Hubo una correlación significativa entre el índice AF/AVMC basal y la AVMC en el segundo mes (rs = −0.78, p = 0.000), entre el índice AF/SC basal y la AVMC en el segundo mes (rs = −0.68, p = 0.0009) y entre AF/SC basal y el VM en el primer mes de seguimiento (rs = 0.64, p = 0.002).  Conclusiones: En el EMD, los índices compuestos con AF basales predicen variables como AVMC en el seguimiento de pacientes que reciben ziv-AFL.",01/08/2021,es
Dilemas éticos ante la posibilidad de padecer la enfermedad de Alzheimer u otras demencias. Estudio exploratorio,"Álvarez-del Río,Asunción",Enfermedad de Alzheimer," En México se han realizado esfuerzos para incrementar la comprensión de la enfermedad de Alzheimer y otras demencias, así como para mejorar la atención de los pacientes con estas enfermedades y la de sus cuidadores. Sin embargo, no se ha investigado el interés de las personas por la toma de decisiones ante la posibilidad de vivir con dichas enfermedades y enfrentar los dilemas éticos implicados.  Conocer las opiniones de adultos maduros sobre algunos dilemas éticos ante la posibilidad de vivir con enfermedad de Alzheimer u otras demencias.  Métodos: Estudio observacional, transversal y correlacional. Los participantes contestaron un cuestionario autoaplicable.  Resultados: 134 adultos maduros respondieron el cuestionario; 70.9 % había pensado en la posibilidad de padecer alguna demencia y la mayoría desearía conocer su diagnóstico, aproximadamente la mitad comunicó a sus familiares su voluntad sobre tratamientos médicos en el futuro, 39.6 % no aprobaba alimentar artificialmente a un paciente que no puede comer ni decidir y 37.3 % sí lo aprobaba.  Conclusiones: Hay interés en las decisiones anticipadas ante la posibilidad de padecer demencia. Para responder a las interrogantes al respecto es importante continuar investigando sobre el tema, así como para resolver algunos dilemas éticos y promover el uso de la voluntad anticipada.",01/08/2021,es
Hallazgos electroencefalográficos en familiares asintomáticos de pacientes con epilepsia mioclónica juvenil: su relación con el grado de parentesco,"Martínez-Juárez,Iris E.",Electroencefalograma," Se ha reportado de 1 a 71 % de prevalencia de anormalidades en el electroencefalograma (EEG) de familiares asintomáticos de pacientes con epilepsia mioclónica juvenil (EMJ).  Determinar la frecuencia de anormalidades en el EEG en familiares asintomáticos de pacientes con EMJ de acuerdo con el grado de parentesco.  Métodos: Estudio prospectivo y analítico. Se incluyeron familiares de primer, segundo y tercer grado de pacientes con EMJ, quienes aceptaron participar y firmaron el consentimiento informado. El análisis fue descriptivo bivariado.  Resultados: Se incluyeron 209 familiares asintomáticos, 115 (55 %) mujeres y 94 (45 %) hombres, con edad media de 35.9 ± 16.9 (rango entre seis y 73 años); 44 familiares (21.1 %) tuvieron EEG anormal. Los familiares de primer grado (12 %) cursaron con mayor frecuencia con anormalidades en comparación con los de segundo y tercer grado (p = 0.007).  Conclusiones: Se observaron anormalidades en el EEG de una tercera parte de los familiares asintomáticos. Es importante resaltar que existieron más alteraciones entre los familiares de primer grado. En un futuro, estos hallazgos permitirán estimar el riesgo de desarrollar la enfermedad clínicamente y brindar consejo genético.",01/08/2021,es
Resultados perinatales en la mujer joven con cáncer de mama y embarazo,"Arteaga-Gómez,Ana C.",Cáncer de mama," El cáncer de mama asociado a embarazo se define como la neoplasia maligna de mama que se diagnostica durante el embarazo, la lactancia o un año después del parto.  Analizar los resultados perinatales en una serie de pacientes jóvenes con cáncer de mama y embarazo en un hospital de tercer nivel.  Métodos: Estudio analítico retrospectivo de 26 mujeres menores de 40 años con cáncer de mama que resolvieron su embarazo en el Instituto Nacional de Perinatología entre 2013 y 2018. Se estudiaron las características clínico-patológicas, resultados perinatales y métodos de planificación familiar. Se obtuvieron porcentajes y medidas de tendencia central y se realizaron comparaciones con pruebas de chi cuadrada o exacta de Fisher.  Resultados: La asociación de cáncer de mama y embarazo se observó en 0.26 % de todos los nacimientos, la edad media de presentación fue de 34 años, 38.4 % de los casos cursaba con cáncer en estadio clínico avanzado y 57.1 % de las mujeres fueron tratadas con mastectomía radical modificada; no se apreció tendencia a mayores complicaciones perinatales.  Conclusiones: El cáncer de mama asociado a embarazo implica un reto oncológico y no parece ser un factor de riesgo para desenlaces perinatales adversos.",01/08/2021,es
Biomaterial antifúngico para reducir las infecciones causadas por Candida albicans en pacientes edéntulos,"Acosta-Torres,Laura S.",Nanopartículas de plata," Las resinas acrílicas de polimetilmetacrilato (PMMA) son utilizadas para elaborar dentaduras para pacientes edéntulos.  Conocer la prevalencia de las especies de Candida en pacientes con y sin prótesis removibles de una clínica de odontología en León, Guanajuato; así como valorar el efecto antifúngico y el comportamiento biológico de un PMMA experimental con nanopartículas de plata para su posible aplicación en prótesis.  Métodos: Para identificar las especies de Candida se obtuvieron muestras para frotis de la mucosa palatina de 140 pacientes con edad ≥ 60 años. El PMMA experimental con nanopartículas de plata fue colocado en cultivos de Candida albicans, los cuales fueron teñidos con el kit Live/Dead® para su análisis bajo microscopia confocal; posteriormente, se implantó en ratas Wistar para conocer su comportamiento en los tejidos circundantes.  Resultados: Candida albicans fue la especie más prevalente en los pacientes valorados, seguida de Candida tropicalis y Candida krusei. La resina acrílica con nanopartículas de plata disminuyó significativamente la presencia de Candida albicans. En el modelo animal se encontró reacción inflamatoria discreta y controlada, lo cual indicó la biocompatibilidad de la resina acrílica utilizada.  Conclusiones: Es posible utilizar el material nanoestructurado con efecto antifúngico para promover la reducción de infecciones orales por Candida en pacientes edéntulos.",01/08/2021,es
Efecto de un suplemento alimenticio listo para consumir en la recuperación de la desnutrición de niños preescolares,"Talavera,Juan O.",Suplemento alimenticio listo para consumir," En países en desarrollo, la desnutrición proteico-energética causa 60 % de las muertes en los niños menores de cinco años.  Evaluar el efecto de un suplemento alimenticio listo para consumir (SALC) en la desnutrición aguda moderada (DAM) en niños preescolares.  Métodos: Ensayo clínico que incluyó 155 niños con DAM (puntuación Z de peso/talla [pZ] mayor de −3 y menor o igual a −2). Cada niño recibió SALC en forma de galletas, cuatro por día (250 kcal), durante 12 meses. El tutor recibió educación sobre nutrición, salud e higiene. La recuperación (pZ peso/talla mayor de −2) a los cuatro, seis y 12 meses se evaluó con un análisis por intención a tratar (AIT) y por protocolo (APP). También se analizaron cambios en la desnutrición crónica.  Resultados: En el primer semestre se observó consumo adecuado del SALC en 61 % de los niños y en 42 % en el segundo semestre. Con el AIT se identificó que 78 % se recuperó y 38 % alcanzó valores normales de nutrición; con el APP, > 90 % se recuperó y > 40 % alcanzó valores normales. Se observó recuperación de la desnutrición crónica.  Conclusiones: El consumo de SALC y un programa educativo redujeron la DAM.",01/08/2021,es
Recomendaciones para la provisión de atención paliativa a personas con COVID-19,"Ramos-Guerrero,Jorge A.",COVID-19,"La pandemia de infección por SARS-CoV-2, causante de COVID-19, ha afectado profundamente a los sistemas de salud y ha ocasionado un enorme impacto en las familias, las comunidades y las naciones. La estrategia de respuesta integral requiere que además de las consideraciones epidemiológicas, científicas y técnicas, no se olvide el sufrimiento humano asociado a la enfermedad, la vulnerabilidad y la muerte. La atención paliativa a personas con sospecha o diagnóstico de COVID-19 con evolución grave y sus familias debe ser también parte clave de la acción organizada que ayude al alivio del sufrimiento y mejore la calidad de vida mediante el control de los síntomas, el abordaje de las necesidades psicológicas, sociales y espirituales, el apoyo para la planificación de la atención avanzada y la articulación de los objetivos de la misma, el cuidado de la persona en la fase final de la vida, así como el soporte ante la toma de decisiones complejas y problemas éticos, entre otros. Se ofrecen recomendaciones para brindar los cuidados paliativos en el contexto de la pandemia de COVID-19.",01/08/2021,es
Estrategias de control y mitigación de contagio por COVID-19 en un hospital psiquiátrico en México,"León-González,Guillermo",COVID-19,"En el contexto de la emergente pandemia de COVID-19, uno de los grandes desafíos es generar estrategias eficaces de control de infecciones nosocomiales, específicamente en hospitales psiquiátricos con población considerada de riesgo (adultos mayores o con comorbilidades). En el presente artículo se describen las estrategias de prevención, contención y tratamiento de contagio, a partir de un brote de COVID-19 ocurrido en julio de 2020 en un hospital psiquiátrico del Estado de México. La población estuvo constituida por mujeres con estancia hospitalaria prolongada (media = 24 años), en su mayoría geriátricas (media = 64 años), con trastornos psiquiátricos diversos y comorbilidades. En total se diagnosticaron 19 casos positivos de COVID-19, de los cuales 13 cursaron con sintomatología leve y seis resultaron asintomáticos. No se presentaron alteraciones en el estado mental, en la sintomatología psiquiátrica ni en las enfermedades de base. Se realizaron algoritmos para el manejo y tratamiento de los casos sospechosos o confirmados de COVID-19. Finalmente, se consideró que la generación de estrategias integrales, acciones rápidas y oportunas, así como una adecuada gestión de recursos humanos favorecedora del trabajo interdisciplinario contribuyeron a contener y mitigar el brote de COVID-19, constituyéndose en un precedente en el ámbito psiquiátrico con pacientes institucionalizadas.",01/08/2021,es
